,date,aqi,category,defining_parameter,defining_site,number_of_sites_reporting
29074,2018-11-03,53,Moderate,PM2.5,06-083-2004,12
29075,2018-11-04,77,Moderate,Ozone,06-083-1021,13
29076,2018-11-05,61,Moderate,Ozone,06-083-1021,12
29077,2018-11-06,58,Moderate,Ozone,06-083-1021,12
29078,2018-11-07,52,Moderate,PM2.5,06-083-2011,13
29079,2018-11-08,54,Moderate,Ozone,06-083-1021,12
29080,2018-11-09,61,Moderate,Ozone,06-083-1013,12
29081,2018-11-10,58,Moderate,PM2.5,06-083-2004,13
29082,2018-11-11,71,Moderate,PM2.5,06-083-2004,12
29083,2018-11-12,57,Moderate,PM2.5,06-083-2004,12
29084,2018-11-13,48,Good,Ozone,06-083-1013,13
29085,2018-11-14,50,Good,Ozone,06-083-1013,12
29086,2018-11-15,47,Good,Ozone,06-083-1013,12
29087,2018-11-16,88,Moderate,PM2.5,06-083-2004,13
29088,2018-11-17,90,Moderate,PM2.5,06-083-2004,12
29089,2018-11-18,88,Moderate,PM2.5,06-083-2004,12
29090,2018-11-19,76,Moderate,PM2.5,06-083-0011,13
29091,2018-11-20,63,Moderate,PM2.5,06-083-0011,12
29092,2018-11-21,55,Moderate,PM2.5,06-083-0011,12
29093,2018-11-22,38,Good,Ozone,06-083-4003,13
29094,2018-11-23,35,Good,Ozone,06-083-4003,12
29095,2018-11-24,37,Good,Ozone,06-083-1021,12
29096,2018-11-25,40,Good,Ozone,06-083-1025,13
29097,2018-11-26,43,Good,Ozone,06-083-1025,12
29098,2018-11-27,38,Good,Ozone,06-083-1025,12
29099,2018-11-28,35,Good,Ozone,06-083-4003,13
29100,2018-11-29,40,Good,Ozone,06-083-1013,12
29101,2018-11-30,41,Good,PM2.5,06-083-1008,12
29102,2018-12-01,41,Good,Ozone,06-083-1013,13
29103,2018-12-02,37,Good,Ozone,06-083-1013,11
29104,2018-12-03,42,Good,Ozone,06-083-1025,11
29105,2018-12-04,43,Good,Ozone,06-083-1013,13
29106,2018-12-05,41,Good,Ozone,06-083-1013,12
29107,2018-12-06,33,Good,Ozone,06-083-1025,12
29108,2018-12-07,35,Good,Ozone,06-083-1025,13
29109,2018-12-08,38,Good,Ozone,06-083-1025,12
29110,2018-12-09,38,Good,PM2.5,06-083-0011,12
29111,2018-12-10,39,Good,PM2.5,06-083-2004,13
29112,2018-12-11,43,Good,PM2.5,06-083-0011,12
29113,2018-12-12,57,Moderate,PM2.5,06-083-0011,12
29114,2018-12-13,48,Good,PM2.5,06-083-0011,13
29115,2018-12-14,41,Good,PM2.5,06-083-0011,12
29116,2018-12-15,52,Moderate,PM2.5,06-083-0011,12
29117,2018-12-16,40,Good,PM2.5,06-083-0011,13
29118,2018-12-17,38,Good,PM2.5,06-083-2004,12
29119,2018-12-18,43,Good,PM10,06-083-4003,12
29120,2018-12-19,56,Moderate,PM10,06-083-4003,12
29121,2018-12-20,38,Good,Ozone,06-083-1025,12
29122,2018-12-21,51,Moderate,PM2.5,06-083-0011,12
29123,2018-12-22,50,Good,PM2.5,06-083-0011,13
29124,2018-12-23,52,Moderate,PM2.5,06-083-0011,12
29125,2018-12-24,41,Good,Ozone,06-083-1013,11
29126,2018-12-25,41,Good,Ozone,06-083-1013,12
29127,2018-12-26,35,Good,Ozone,06-083-1025,12
29128,2018-12-27,37,Good,Ozone,06-083-1025,11
29129,2018-12-28,39,Good,Ozone,06-083-1021,12
29130,2018-12-29,39,Good,Ozone,06-083-1021,12
29131,2018-12-30,41,Good,PM2.5,06-083-1008,12
29132,2018-12-31,38,Good,Ozone,06-083-2004,12
